Country Name,Country Code,Series,Series Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
China,CHN,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,98.85873,,,,,,,,,,99.64229,,,,,,,,99.7836,,,,,
Colombia,COL,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,97.99131,97.9584,97.88317,97.96863,97.98927,97.93743,98.09842,98.23938,,,98.54095,98.53473,98.66831,,98.85165,,,,,
Comoros,COM,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,80.18576,,,,,,,,,,,,71.58127,,,,,,78.27039,,,,,
"Congo, Dem. Rep.",COD,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,70.41626,,,,,,65.77653,,,,,83.59755,,,,84.98951,,,,,,,
"Congo, Rep.",COG,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,78.56835,,,,,,80.91395,,,,,,,82.05479,,,,,
Cook Islands,COK,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,97.6147,,,,,,,,,,,99.1337,,,,,,,99.43,,,,,
Cote d'Ivoire,CIV,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,60.72365,,,,,,,,,,,,48.30996,,53.02069,,,,58.42015,,,,,
Croatia,HRV,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,99.64864,,,,,,,,,,99.72363,,,,,,,,,,,,
Cuba,CUB,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,99.9556,,,,,,,,,,99.87465,,,,,,,,,,,
Curacao,CUW,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,99.77493,,,,,,,,,,99.82099,,,,,,,,,,,,
Czechia,CZE,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,99.78588,,,,,,,
Denmark,DNK,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,94.21757,,,,,95.78686,,,96.80575,97.04205,97.02389,97.47243,97.68853,97.61406,98.83941,,,,,,,
Early-demographic dividend,EAR,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,79.64915,80.31898,80.92891,81.87824,82.69067,83.53996,83.99652,84.49893,84.85145,86.69712,87.31527,87.49827,87.72501,88.37219,89.2037,89.86463,90.50688,91.00817,91.33305,91.68253,92.08379,,,,
East Asia & Pacific,EAS,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,97.64256,97.67386,97.73536,97.82941,97.98145,98.07671,98.15947,98.12009,98.37829,98.74414,98.71079,98.66478,98.25053,98.28724,98.31574,98.54473,98.59689,98.61837,98.64629,98.65081,98.68928,,,,
