"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bangladesh","BGD","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","2619023882.42894","3473990208.07834","3216616766.46707","2916540404.0404","3118960000","3526884615.38462","3522266666.66667","3759741935.48387","4182467814.66449","4639875678.49693","5200668376.85907","5230560224.08964","5487230031.83024","5952339523.80952","6214296793.01746","7254002500","9626674816.62592","10525081967.2131","11057290748.8987","11649376039.9334","12706579208.9048","13052020014.8258","13320616402.5771","14846735751.2953","16271819262.7824","17937414634.1463","18776485912.7457","20841195821.0252","24009476211.9225","26855385339.1294","30256903105.2292","35273787302.42","37689468677.6661","42581742587.0468","49406984076.6614","56351741242.8605","80206858259.998","90907915539.7813","102271124900.582","113146988943.774","117061068989.92","129120090931.056","147481967790.563",
"Bulgaria","BGR","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","5606923076.92308","5492857142.85714","5315333333.33333","4430000000","4506500000","4533052631.57895","5465235294.11765","7551769230.76923","6035294117.64706","5737777777.77778","4387227272.72727","1986693548.3871","1679226804.12371","1403276074.50895","1334446494.46494","3165607181.67066","547397534.41753","1095512816.32032","2193595848.11726","2215172226.15226","2216209393.50767","2732571126.21","3112848252.86775","4187788205.93501","5480234701.2175","7665840179.95938","9433243953.72954","12569510846.746","17967522662.5643","14452739476.7298","11259904426.2184","12031967119.778","11466978913.4862","11830894275.8199","12037919440.2934","10599269911.5044","9935069330.46579","10855945243.4587","12453138095.5256","12823426821.5901","13421197804.1231","13738712583.9028","15412591794.9822",
"Bahrain","BHR","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","946934996.020164","1011968085.10638","1201861436.17021","1532181117.02128","1720744946.80851","1232978723.40426","984308510.638298","764095744.680851","715691489.361702","765425531.914894","800531914.893617","913563829.787234","1027127659.57447","1207978723.40426","1110372340.42553","1013563829.78723","755585106.382979","760372340.425532","867553191.489362","898936170.212766","1485265957.44681","1523590425.53191","2217234042.55319","2610585106.38298","2960611702.12766","4101808510.6383","5458803191.48936","7290691489.3617","8876090425.53192","5794175531.91489","6697154255.31915","6062260638.29787","8252287234.04255","8057978723.40425","8547340425.53191","7474521276.59575","8305053191.48936","10056622340.4255","11137101063.8298","10742765957.4468","10004120212.766","9669880851.06383","",
"Bahamas, The","BHS","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","81300000","85900000","135300000","212900000","238900000","298700000","310700000","326500000","407800000","425200000","508100000","","877900000","811370000","790590000","812400000","659620000","787950000","872290000","999170000","1780500000","2129300000","2126600000","2261100000","2112900000","2033600000","2043900000","1993600000","2571600000","3288500000","3119700000","2977400000","2672600000","2694900000","2856600000","3249300000","2969600000","3379200000","2792100000","2944200000","3283100000","3201000000","3312000000","2276900000","2642500000","2628900000",
"Bosnia and Herzegovina","BIH","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","229000000","948237971.823498","1256401062.01876","1340696369.99707","1119863546.85572","1699723768.87783","1648132783.69005","1905153957.56844","2307826215.91615","2670507892.22916","3216867952.50527","2924278481.04513","4229383493.24669","5498759582.86274","4175621195.10672","3565784362.85331","4097429948.88897","3766886303.46667","3821914787.74326","4248766050.56815","3424401244.80293","3503845681.81574","3968100265.47913","4592600476.16605","4652968829.23909","4472314018.29968","5060060256.19162","",
"Belarus","BLR","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2300000000","5566666666.66667","4973109243.69748","3450402761.79517","3110615384.61538","3565292758.08937","3947604595.70778","3195631768.95307","3209865852.29808","2800719424.46043","3208651419.38222","4233231120.23283","5858831807.28246","8010697272.7526","10963181258.6265","14205854394.9899","20232727953.5667","18079017561.4472","22221479867.4505","23275700906.3991","21949669541.4363","28086317081.548","26185189894.465","16176702358.8486","12140857062.5811","14315271313.2561","15744441521.6273","17412896079.5647","15567055737.1673","15726313923.6019","14137314568.2769",
"Belize","BLZ","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","42642151.0925","46212387.3285","39060792.6255","34563059.017","41459809.5515","35176232.4625","38451487.782","57436169.4","78124970.28","96112036.11","120865611.393239","144788599.804345","160380974.544814","188366397.528556","141636723.516856","159714516.911828","154577330.38037","154807257.058204","153629945.014158","213801502.285667","282957898.702692","260073626.514348","249994744.611553","222308142.31398","221414443.748587","244523807.143371","267162622.668845","300752740.304277","384020562.676406","279951956.375469","238066561.041231","254178007.650465","247880797.642805","295058522.467058","352068782.43536","358137588.602585","403314487.086427","349204994.749605","379903934.477755","400332000.210301","352636599.611072","486012071.228271","588640648.65228",
"Bermuda","BMU","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","865343000","794297000","702521000","704322000","775746000","791397000","883410000","983043000","968986000","1094851000","842869000","945700000","945200000",
"Bolivia","BOL","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","149333333.333333","162583333.333333","201769230.769231","225950000","327500000","452750000","534250000","620700000","819450000","871000000","752979610.496712","934582122.12282","839330602.611758","678358001.071767","936308970.010874","777747604.413618","529828343.091727","525473379.218537","583952252.576543","565507342.432225","611294834.160717","773919401.397751","920829366.978788","955652305.007898","888299945.655432","1043101470.68688","1196557766.38687","1503429161.64376","1967443290.38882","1582225490.70884","1502164633.15039","1133850599.30373","1237180516.03905","1023548840.23289","1025363923.89113","1240511937.54772","1637233582.18447","2117532123.88608","2876098752.73561","2857502535.61254","3256400424.87409","4544764105.67046","4973493024.60203","5843695079.59479","6923276541.24457","7052492040.52098","7015795123.01013","7977471302.4602","8124443039.07381","7759993820.54993","5704050072.3589","6719662106.8115","7411898808.47643",
"Brazil","BRA","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114497000000","95455796364","73764864864.8649","71959475929.3114","84518325404.9684","113332210229.939","156069192419.472","158525047059.994","168894644487.158","160152259036.274","102036851140.588","119976443173.613","103138270248.277","91387179470.4973","92693368979.4393","115922489991.005","152078703535.588","190625845953.275","251421388628.382","328747096714.032","318428960282.641","453577622330.717","539162699714.077","510714163350.092","517114089538.975","488090279742.213","321439091720.11","278769334029.919","300426867360.889","289397822911.606","289819598090.593","244458436787.549","311715843631.202","361411092028.033",
"Barbados","BRB","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","74989851.9875254","115451142.828626","117277257.325095","125429324.317606","148660070.601104","196539551.533834","257495152.389002","225923532.043952","206383930.791031","188783373.937255","181126634.51499","212399940.337095","228658081.837617","265947397.205787","320787550.340576","301944016.307861","255655546.164172","162000000","190871575.597872","226818475.612788","258539253.219311","297419579.376523","382936409.287526","528464177.397703","561378213.096008","550300000","499650000","548400000","589100000","658000000","717750000","892050000","881150000","868650000","748400000","710800000","784850000","736200000","763300000","767000000","788400000","782350000","768650000","717500000","762200000","839750000","840750000","963500000",
"Brunei Darussalam","BRN","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","554798390.777015","657643198.772105","763509015.658013","973009275.203242","1217360413.56834","1171237701.67679","1735602786.84187","2113413723.43074","1844685433.65261","1369501231.47558","983505776.252731","777625795.913253","819753611.467844","1238558507.03791","982546150.433106","1057358593.04189","1082244620.7245","1200428211.8881","1591464943.97858","1967940263.92091","1883444511.74197","3225501261.81785","4800808958.96616","6241362007.7995","7139740050.48091","4663625457.75982","4529020423.86744","3918097624.99937","4194838332.64175","5547710722.43775","5186602151.1209","4847657213.18284","4353834218.75314","4283490497.01174",
"Bhutan","BTN","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","42265639.6553709","47973493.8626368","52299005.4501619","64075317.9208266","61396391.9999528","74326435.573522","81700368.2468874","90160675.8477028","108356039.83967","96976980.6785615","67765264.4513834","82616745.5346576","97991294.3407118","97006948.2822648","110899659.339329","122929124.940863","114558978.390109","115102188.769146","124198469.850421","159861753.087207","221549372.791648","284487513.715283","327142179.420793","368858676.859279","444548523.608427","422650260.005816","415642734.563271","383735780.904246","523378952.342299","581172641.811892","958819933.039133","1236355682.92042","1236116190.74663","831405660.054563","1044821833.25268","1115908677.68559","1221029453.34893","1406179725.18445","1384762071.62135","1252934148.67162","947911072.138924","1217636649.97425","",
"Botswana","BWA","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","10679375.8218931","11924968.9323178","13178997.2805244","13807569.8955925","18940000.5849118","33221014.664705","58601097.0686819","76019502.3989814","103657324.301195","100739245.036992","94522304.0183473","92747523.1868808","115207373.271889","170076446.857299","258034593.567908","366174531.184663","384170433.2778","326515231.712185","319210229.313554","326716590.68696","254498264.712885","311444998.360956","540995782.460491","792223289.226441","969484129.623214","1226493792.41545","1232985268.28578","1225301875.8369","1120998937.30074","1102380389.21347","1276203400.39543","1115637851.78797","1313971901.21627","1346725415.77139","1463196807.36615","1455329491.552","1422824077.2444","1494186281.72355","2104433806.74357","2493917875.94025","2513432466.23801","2009773407.88639","2596158874.69864","2724101482.70258","2867075901.49853","3382352852.85838","4563156300.75781","4376099377.98777","3937537594.17296","3934884681.88184","3667277513.89279","3698137681.09872","3894094178.08344","4495321361.08177","4825368639.11532","4133640305.23642","4948933122.19492","4943224791.94625",
"Central African Republic","CAF","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","59019937.2079141","55394089.0345148","78506342.3071326","55376861.7129092","55937573.0420137","47777547.3128322","69016915.220437","77353216.531545","107240088.696116","144375245.765374","154393860.404911","124573516.419113","129096954.935332","170187266.375408","167720103.586687","171350226.295827","126083044.32769","101587757.463781","145601981.723969","67481841.4996093","73505655.8698441","79804828.114976","129551919.111137","101508293.816306","95510950.769748","95871027.6977319","73162938.9919037","86674954.633274","131980836.878637","149609812.880063","181662922.460469","253728676.226736","267141732.917664","345737639.132121","327016338.080527","270330597.678331","107410488.735258","400864935.007648","348878414.784005","381020689.45128","502296752.771754","364195716.232293","319603726.069576","425761306.166574","395670555.290737","355779044.66459",
