"Data Source","World Development Indicators",

"Last Updated Date","2023-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","718842879.311973","704466045.165839","643177490.16443","605873210.279876","624655253.729882","649641481.089983","662599803.235749","632785861.39631","714157289.261322","724155526.816388","716189816.080482","803114714.276773","834187361.138464","869334201.895627","995717531.695708","1108016049.86084","1113374390.62711","1228052042.12764","1264893603.53317","1339807607.92757","1126700802.55571","1284438914.95399","1406460611.98412","1513351618.49492","1605666067.31512","1817613988.15802","1726733288.76852","1638669890.99201","1525601668.43369","1437116771.6719","1383943451.19954","1372871903.58994","1363261800.26481",
"American Samoa","ASM","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","22941646.0219518","26176527.9707023","19007435.5256757","17991848.5921197","14706240.6787019","12273946.9319855","12023879.8653267","11285153.5426885","10792800.982651","11544270.1537247","13221124.664864","14052909.9071011","14784242.9755751","15684674.3026446","16230599.7096676","16933181.972619","17621522.7032133","17393658.1854993","15936274.7076204","15603972.2859542","16377762.2106912","17075597.2961902","17635764.2355704","18224414.2396648","17835145.6885701","19980869.8970433","21177158.6150416","20764154.176685","23194709.0323007","24514424.3640607","24286559.8463467","22615553.383111","19439691.6674726","19757752.5567817","22449402.1722779","24789218.040136","20774728.7661341","20693696.1819659","20781481.4814815","21335204.1399645","24390807.8346421","24640658.3024942","24806099.8285044","25204510.0339983","25359822.4869874","26224170.0514487",
"Australia","AUS","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","12607543666.5645","13650435287.5401","14014805036.414","13556423220.9236","16499409654.1359","14470267222.5064","12686373660.3113","14761646236.4296","11534287899.8494","16528605948.1161","16560721871.4944","15403964703.9958","15569215727.9241","15232874421.2713","15904973108.6974","17208295671.9771","18162430559.2526","17198368932.0238","18102870119.5329","18852630948.9464","16090077612.5323","19480351269.5225","21045272626.8655","21197093355.5629","23328422816.1234","24927795800.3631","25916966240.415","26746140989.455","20986880038.9049","26366589167.7113","27497069670.6278","28296464199.8078","24013367872.9007","25978862383.6532","30467500620.1815","30243857008.2925","31275654037.5556","31563529496.2012","31294923591.5826","31642943415.8275","32108332341.8732","29818758967.9396","32616931783.0097","31713014521.3802","28372374564.1566","25612156931.2609","31499881575.3242","36452156960.2593",
"Austria","AUT","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","3358220360.725","3283796455.04766","3328150342.36328","3435043033.27187","3357623442.78984","3230002832.05859","3448285069.62148","3329156670.55508","3337488002.85078","3225711236.19766","3292081187.80195","3257812772.66211","3357227346.68789","3340388269.54688","3595023696.97109","3487704953.1125","3415336974.82148","3352824799.53789","3614398011.06719","3624234952.35547","3622171258.37891","3633588146.02344","3820629829.125","4006828282.42969","3862647082.29297","3836296151.14062","3774296570.8125","3681541293.15625","3997430708.24609","3905074855.23047","3846681191.79687","4209159053.16406","4511201747.3789","4213153299.57031","3999272499.64453","4569340222.84765","4238771952.21484","4112476099.875","4226789212.99609","4315472578.34375","4412321958.5664","4642357266.17969","4776486279.52734","4622441509.79297","4274786740.64453","4546506447.55859","4847606055.8164",
"Azerbaijan","AZE","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1894115077.51073","1585374362.44536","1382446402.52174","1285675071.28397","1324245389.87149","1232872416.43973","1309310563.15595","1402271459.89203","1676939207.34739","1863079451.88744","1982306597.69996","2093489054.51902","2198070634.39316","2362884697.25705","2384150659.53236","2479559786.39241","2630863730.50349","2723049458.19353","2668593469.31646","2823728405.58676","3010339192.06581","3157876516.48065","3075748674.65021","3278760526.4288","3364008356.18229","3505296775.66747","3666540243.36752","3933002993.63134","4007730078.75115","4139922669.2185","4280505275.79517",
"Burundi","BDI","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","529175685.602185","552764446.259641","530304730.125856","504613676.969739","503194196.71017","703144718.983669","838485810.416221","755023066.394965","845794787.182454","811942684.433309","849378109.221997","880322008.670763","916380268.297504","891850957.670835","905043660.621575","916611078.146794","1045920340.36581","966566010.719251","1009015778.05695","972538214.026457","1100218343.8925","1145639787.36435","1205188713.6115","1224311304.79154","1197708552.9023","1264376037.78903","1291303846.7752","1331850787.54497","1273515723.20902","1149602643.25886","1071774544.1317","1087958339.78063","1124187352.52412","1145884168.5155","1133966973.09462","1075242791.39682","1038222846.7242","1082185234.38952","1044159126.70589","1041660053.8342","973322915.008701","1004363858.95958","910566566.952482","928451593.679961","917524155.91428","932348474.572397","919685583.777696","939313951.957054","1018365809.53463","981911435.396635","952454092.334736","931500074.693892","934294548.491757","962323298.173859","992155224.184918","1019939142.22091","1054712624.77342","1046299498.57939",
"Belgium","BEL","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2270063374.21875","2270063374.21875","2335080829.60937","2410194852.30469","2426393740.50781","2587273109.64844","2403315872.38281","2652734370.19531","2565415705.70312","2749705796.83594","2674924628.00781","2912138484.02344","2904260942.5","2921902197.46094","2741606352.73437","3036736781.64062","3098647600.9375","3103973262.8125","2663829499.10156","2670264673.86719","3173539721.05469","2947753847.8125","3075902586.67969","2815278008.67187","2850227664.72656","2832697361.05469","2897603865.15625","2487416949.49219",
"Benin","BEN","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","510360611.5197","491730389.202407","508545398.824041","579140581.568934","495820459.338454","469007348.596409","521724818.897406","519451960.690126","573989808.790941","601253651.091427","619888871.804404","575352499.097559","586259060.320895","586259060.320895","698121159.186108","763204558.992471","802356315.967146","741340618.386917","846592700.90209","912970104.502035","936032676.363395","1011778571.94159","1018546721.85076","1121694245.33193","1158516522.82455","1225326497.21238","1293988547.2674","1372701957.97764","1444726895.99105","1531161690.62447","1601136412.27014","1741088628.67983","1793971498.2284","1825796347.37161","1955758412.67273","1983660167.75689","2123859428.66942","2251961698.39519","2299153111.3784","2478081310.6359","2457417139.33874","2480809168.02693","2615875355.77741","2775692887.33576","3004889696.13095","3005573140.82831","3275058674.59508","3522787800.55752","3780975346.27231","3976057778.66253","4045771179.01107","4256049229.66013","4461339597.98209",
"Burkina Faso","BFA","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","667454525.079441","675172735.181569","673185829.58756","635455460.405995","730774811.444952","724813994.631074","752620379.443168","708932791.126876","748642920.543159","700425555.212881","717741396.196122","775689062.279008","797323057.298504","799636317.006704","791139824.452526","848115574.76997","954577077.752612","857630255.02584","1011450589.42998","997632795.824686","932501448.169924","1124753380.3027","1153537777.08911","1266758117.15755","1273420512.39318","1354453800.91244","1524236140.19897","1464787576.31078","1707244728.9431","1731228511.65235","1641491127.76858","1774930537.65658","1759204948.10642","1922161940.71316","1822732872.58264","2045306189.79735","2078977826.48408","1972074162.84919","2290227507.47398","2053688420.42094","2352844607.44889","2299695645.73805","2495586064.50307","2650510788.10014","2767222742.77462","2679569780.7725","2791140644.8524","2785477003.87349","3023786367.46799","2996474860.34689","3011800369.18011","2791707248.15394","2950893340.74713",
"Bangladesh","BGD","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","7200583868.6099","7575600117.23279","7973029523.18939","7704761881.28317","8439667037.62253","8349662530.44266","8565960070.71425","8335233054.56157","9191317513.98431","9280694541.27137","9783965195.75032","9342894434.59671","8342587514.19693","8365352080.30844","8903930882.85401","8497597802.03645","9210364742.75253","8873427303.94742","9568591135.01296","9504978465.82474","9360673397.7813","9669939251.33818","9768934015.67637","10148920486.8303","10646735058.7086","10667009723.7178","11021691149.0033","11032165437.4361","10984060299.761","10964615518.5227","11974640131.469","12229598569.2963","12513735084.2025","12812697818.2686","12907128476.4222","12859049551.0037","13240652298.6134","13838940725.4443","14383559663.6782","14941863524.6903","16046106998.2533","16488646887.2652","16469041698.2962","17125143800.5877","17976865155.7947","18764693177.9147","19806643632.9634","21132202520.6908","22081855780.4746","22847232437.8344","24252782095.9844","25333575557.4619","26097198283.328","26740464871.0587","27909523246.6717","28838458533.0994","29641975260.8902","30589334932.4722","31673586114.6417","32706327995.0663","33825194446.1045","34898999537.6381","35964797727.2122",
"Bulgaria","BGR","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","4272374414.79464","4463360541.58157","4721905436.01089","3950509304.40209","4411954997.44724","3502317037.95099","4274427028.87452","3648858654.47016","3927841032.84547","3732437506.18334","3594374158.44111","3871036249.14908","3299773769.00386","2302585942.81824","2520657930.56501","2871511232.1307","2764949512.13978","4087177218.06217","3302693442.25096","3151755162.24189","2805824824.14341","2823369639.21035","2970507714.99886","2922644088.9494","3030346607.66962","2773960744.27048","2750353415.02156","2005855457.22714","2643610165.64556","2409035057.86249","2147342863.62605","2269928522.80463","2019309621.05741","2092612888.58634","2239796914.00045","2063970955.29839","2218105287.04334","2405708531.8811","2357961765.37327","2454615951.89471","2373569321.53392","3058207964.60177","2922181756.2968",
"Bahrain","BHR","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86172947.212167","84340119.5343629","86593596.1874007","94555880.3614678","86473410.7659054","87855543.1131019","89688370.790906","91010410.4273549","101346356.675955","98191489.3617021","105012012.031563","104110621.370348","108030168.428865","106972837.18326","107127876.376989","114894558.777572","119933933.500872",
